CVEGEO,ENT,NOM_ENT,MUN,NOM_MUN,Poligono,LOC,NOMGEO,POB1,POB42,POB84,EDU1_R,EDU7_R,EDU13_R,EDU28,EDU34,ECO1,ECO7,ECO13,ECO28,AFRO1,DISC4,DISC5,DISC6,SALUD1,SALUD2,SALUD3,SALUD4,SALUD6,VIV0,VIV7,VIV10,VIV27,VIV28,VIV29,VIV81,VIV15,VIV17,VIV20,VIV34,VIV35,VIV36,GM_2020_y,IMN_2020_y,Latitud,Longitud
170360010,17,Morelos,36,Hueyapan,23,10,Matlacotla,45,23,22,100,100,100,1,17,27,0,4,7,0,0,0,1,20,25,0,0,1,19,4,4,8,4,2,0,11,10,7,1,1,9,Bajo,0.829953,18.869758,-98.697471
170030010,17,Morelos,3,Axochiapan,2,,Telixtac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.56037137,-98.77625498
170040008,17,Morelos,4,Ayala,3,,Chinameca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.62162013,-98.99343719
170090017,17,Morelos,9,Huitzilac,6,,"Tres Marías/ AGEB's 92, 105 Y 124",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.05078789,-99.24208737
170130006,17,Morelos,13,Jonacatepec de Leandro Valle,9,,Tetelilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.64431715,-98.78685022
170330001,17,Morelos,33,Temoac,20,,Temoac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.77309419,-98.77578917
0,17,Morelos,36,Hueyapan,23,,Barrio de San Miguel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.89111335,-98.68624093
0,17,Morelos,6,Cuautla,4,,Col Hermenegildo Galeana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.80047858,-98.91860677
0,17,Morelos,19,Tepalcingo,11,,Barrio Palo Revuelto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.59183107,-98.84867694
0,17,Morelos,22,Tetela del Volcan,12,,Barrio Santiago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.90193635,-98.72969474
0,17,Morelos,15,Tlayacapan,15,,Colonia del Señor santiago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.95321323,-98.97095731
0,17,Morelos,15,Tlayacapan,15,,Barrio de Texcalpan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.95321323,-98.97095731
170310002,17,Morelos,31,Zacatepec,19,,Tetelpa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.66564715,-99.20434763
0,17,Morelos,31,Zacatepec,19,,Emiliano Zapata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.66739656,-99.19494971
170040028,18,Morelos,,Ayala,3,,El Vergel,987,483,504,68.4,100,87.7,74,281,409,28,30,355,5,4,38,56,856,131,185,3,0,368,6,69,225,151,90,41,268,241,249,30,144,149,Bajo,0.862091,18.59011378,-99.03458552
170090050,19,Morelos,,Huitzilac,6,,Lagunita,82,38,44,0,100,75,6,18,36,1,5,30,0,1,5,0,55,27,5,4,0,30,1,8,7,7,9,1,20,16,19,4,3,18,Medio,0.75119,19.06260555,-99.24964178
170130019,20,Morelos,,Jonacatepec de Leandro Valle,9,,El Puente Colorado,40,18,22,50,100,100,3,12,24,0,1,11,0,0,2,3,37,3,7,1,1,36,1,2,11,6,7,5,12,10,10,2,0,13,Bajo,0.875633,18.6418027,-98.78414654
170240010,21,Morelos,,Tlaltizapan de Zapata,13,,Pueblo Nuevo,1280,636,644,61.4,94.2,88.4,39,222,616,16,22,424,2,10,30,56,1003,277,560,62,19,449,17,86,338,221,136,39,356,346,349,92,125,306,Muy bajo,0.914763,18.70040443,-99.15200065
170260018,22,Morelos,,Tlayacapan,15,,Colonia 3 de Mayo,273,133,140,56.5,97.1,100,22,69,100,11,7,91,0,2,4,2,200,73,2,11,0,72,4,31,36,24,23,6,55,42,45,6,7,50,Medio,0.773999,18.97855611,-98.9651899
170280073,23,Morelos,,Xochitepec,16,,Loma el Encanto,226,117,109,58.3,100,92.9,11,49,117,6,6,44,4,6,10,7,156,70,54,4,2,87,10,27,45,31,25,7,56,44,52,7,6,53,Medio,0.803332,18.79538362,-99.25043255
